n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
100,0.2,20,6,independent,CVaR-CR-SHP,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,870.012728156878,201,1,20
100,0.2,20,6,independent,Mixed,2006.96671098862,2602.07015471854,2474.81119289771,2484.01879660862,2277.54913714354,85.9059492193051,201,1,3
100,0.2,20,6,gaussian06,Nominal,2687.56594156574,2411.44663184955,1434.01469131921,1426.54083431411,1308.24163521727,0,201,1,0
100,0.2,20,6,gaussian06,CR-SHP,2112.82183970706,2411.44663184955,1434.01469131921,1426.54083431411,1308.24163521727,0,201,1,0
100,0.2,20,6,gaussian06,CVaR-CR-SHP,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,593.48325606859,201,1,20
100,0.2,20,6,gaussian06,Mixed,2006.96671098862,2361.43763418964,1522.90912138037,1517.16479307405,1413.76162532173,50.0089976599152,201,1,3
100,0.2,20,6,comonotone,Nominal,2687.56594156574,2144.90556665422,1308.24163521727,1308.24163521727,1308.24163521727,0,201,1,0
100,0.2,20,6,comonotone,CR-SHP,2112.82183970706,2144.90556665422,1308.24163521727,1308.24163521727,1308.24163521727,0,201,1,0
100,0.2,20,6,comonotone,CVaR-CR-SHP,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,1817.96337578096,326.942190873259,201,1,20
100,0.2,20,6,comonotone,Mixed,2006.96671098862,2116.89110563608,1413.76162532173,1413.76162532173,1413.76162532173,28.0144610181378,201,1,3
100,0.2,20,6,t_copula06,Nominal,2687.56594156574,2433.55280148762,1446.68763559244,1440.88161919643,1308.24163521727,0,201,1,0
100,0.2,20,6,t_copula06,CR-SHP,2112.82183970706,2433.55280148762,1446.68763559244,1440.88161919643,1308.24163521727,0,201,1,0
