n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,6,0.45,0.7,independent,Mixed,2317.13876963098,3319.05631287021,3038.62626579304,3067.63953572344,2636.90706277712,39.5571940044911,121,57,1
60,0.5,30,6,0.45,0.7,gaussian06,Nominal,3359.68014997178,3052.69504062279,1644.1364626635,1644.23613989332,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,gaussian06,CR-SHP,2835.31646521716,3052.69504062279,1644.1364626635,1644.23613989332,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,gaussian06,CVaR-CR-SHP,2037.77843089068,2795.62116496956,1832.83272417831,1823.98396355756,1701.2838478563,257.073875653227,121,57,8
60,0.5,30,6,0.45,0.7,gaussian06,Mixed,2317.13876963098,3022.75172609024,1675.22170203585,1681.01085183677,1514.48708826045,29.9433145325538,121,57,1
60,0.5,30,6,0.45,0.7,comonotone,Nominal,3359.68014997178,2907.04422782064,1475.46880124285,1475.46880124285,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,comonotone,CR-SHP,2835.31646521716,2907.04422782064,1475.46880124285,1475.46880124285,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,comonotone,CVaR-CR-SHP,2037.77843089068,2670.55036097618,1701.2838478563,1701.2838478563,1701.2838478563,236.493866844454,121,57,8
60,0.5,30,6,0.45,0.7,comonotone,Mixed,2317.13876963098,2881.10322386928,1514.48708826045,1514.48708826045,1514.48708826045,25.9410039513577,121,57,1
60,0.5,30,6,0.45,0.7,t_copula06,Nominal,3359.68014997178,3117.16367131835,1664.05382371589,1657.3298503808,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,t_copula06,CR-SHP,2835.31646521716,3117.16367131835,1664.05382371589,1657.3298503808,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,t_copula06,CVaR-CR-SHP,2037.77843089068,2839.86410088692,1845.90792628003,1847.50484774784,1701.2838478563,277.299570431428,121,57,8
60,0.5,30,6,0.45,0.7,t_copula06,Mixed,2317.13876963098,3085.69720083067,1694.12624451562,1691.20072495091,1514.48708826045,31.4664704876795,121,57,1
60,0.5,30,6,0.45,0.7,adverse,Nominal,3359.68014997178,2835.31646521716,1475.46880124285,1475.46880124285,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,adverse,CR-SHP,2835.31646521716,2835.31646521716,1475.46880124285,1475.46880124285,1475.46880124285,0,121,57,0
60,0.5,30,6,0.45,0.7,adverse,CVaR-CR-SHP,2037.77843089068,2620.45001701291,1701.2838478563,1701.2838478563,1701.2838478563,214.866448204251,121,57,8
60,0.5,30,6,0.45,0.7,adverse,Mixed,2317.13876963098,2810.6494592641,1514.48708826045,1514.48708826045,1514.48708826045,24.6670059530657,121,57,1
60,0.5,30,7,0.45,0.7,independent,Nominal,3270.80645595362,3277.64376601973,2962.12927618269,2984.24951744538,2690.5705224943,0,121,58,0
60,0.5,30,7,0.45,0.7,independent,CR-SHP,2763.07462748339,3277.64376601973,2962.12927618269,2984.24951744538,2690.5705224943,0,121,58,0
60,0.5,30,7,0.45,0.7,independent,CVaR-CR-SHP,1933.03940815575,2910.11402388398,2689.0097932404,2704.96211096361,2468.39759675065,367.529742135746,121,58,9
60,0.5,30,7,0.45,0.7,independent,Mixed,2216.18150211055,3277.64376601973,2962.12927618269,2984.24951744538,2690.5705224943,0,121,58,0
60,0.5,30,7,0.45,0.7,gaussian06,Nominal,3270.80645595362,3025.60436417615,1538.62994351043,1543.68474731928,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,gaussian06,CR-SHP,2763.07462748339,3025.60436417615,1538.62994351043,1543.68474731928,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,gaussian06,CVaR-CR-SHP,1933.03940815575,2719.6098020248,1730.67060438472,1750.03383675122,1569.20824072889,305.994562151343,121,58,9
60,0.5,30,7,0.45,0.7,gaussian06,Mixed,2216.18150211055,3025.60436417615,1538.62994351043,1543.68474731928,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,comonotone,Nominal,3270.80645595362,2806.64296672358,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,comonotone,CR-SHP,2763.07462748339,2806.64296672358,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,comonotone,CVaR-CR-SHP,1933.03940815575,2553.87811705656,1569.20824072889,1569.20824072889,1569.20824072889,252.764849667024,121,58,9
60,0.5,30,7,0.45,0.7,comonotone,Mixed,2216.18150211055,2806.64296672358,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,t_copula06,Nominal,3270.80645595362,3015.27274122221,1525.62536929859,1515.99159216038,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,t_copula06,CR-SHP,2763.07462748339,3015.27274122221,1525.62536929859,1515.99159216038,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,t_copula06,CVaR-CR-SHP,1933.03940815575,2717.10257431637,1722.01423898468,1727.38841328278,1569.20824072889,298.170166905843,121,58,9
60,0.5,30,7,0.45,0.7,t_copula06,Mixed,2216.18150211055,3015.27274122221,1525.62536929859,1515.99159216038,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,adverse,Nominal,3270.80645595362,2763.07462748339,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,adverse,CR-SHP,2763.07462748339,2763.07462748339,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
60,0.5,30,7,0.45,0.7,adverse,CVaR-CR-SHP,1933.03940815575,2522.76900179903,1569.20824072889,1569.20824072889,1569.20824072889,240.305625684352,121,58,9
60,0.5,30,7,0.45,0.7,adverse,Mixed,2216.18150211055,2763.07462748339,1322.27360368882,1322.27360368882,1322.27360368882,0,121,58,0
