n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
200,0.2,40,9,independent,CR-SHP,3963.87797473427,4547.57577112919,4373.64676876998,4383.13595964992,4176.08266602998,0,401,3,0
200,0.2,40,9,independent,CVaR-CR-SHP,2855.53141770635,2855.53141770641,2855.53141770635,2855.53141770635,2855.53141770635,1692.04435342279,401,3,40
200,0.2,40,9,independent,Mixed,3694.93623402617,4547.57577112919,4373.64676876998,4383.13595964992,4176.08266602998,0,401,3,0
200,0.2,40,9,gaussian06,Nominal,4550.98493734968,4250.49939490692,3115.42423935473,3132.49292089794,2837.80361978434,0,401,3,0
200,0.2,40,9,gaussian06,CR-SHP,3963.87797473427,4250.49939490692,3115.42423935473,3132.49292089794,2837.80361978434,0,401,3,0
200,0.2,40,9,gaussian06,CVaR-CR-SHP,2855.53141770635,2855.53141770641,2855.53141770635,2855.53141770635,2855.53141770635,1394.96797720052,401,3,40
200,0.2,40,9,gaussian06,Mixed,3694.93623402617,4250.49939490692,3115.42423935473,3132.49292089794,2837.80361978434,0,401,3,0
200,0.2,40,9,comonotone,Nominal,4550.98493734968,4013.85670903348,2837.80361978434,2837.80361978434,2837.80361978434,0,401,3,0
200,0.2,40,9,comonotone,CR-SHP,3963.87797473427,4013.85670903348,2837.80361978434,2837.80361978434,2837.80361978434,0,401,3,0
200,0.2,40,9,comonotone,CVaR-CR-SHP,2855.53141770635,2855.53141770641,2855.53141770635,2855.53141770635,2855.53141770635,1158.32529132708,401,3,40
200,0.2,40,9,comonotone,Mixed,3694.93623402617,4013.85670903348,2837.80361978434,2837.80361978434,2837.80361978434,0,401,3,0
200,0.2,40,9,t_copula06,Nominal,4550.98493734968,4279.12980716534,3108.06624828856,3119.12748611363,2837.80361978434,0,401,3,0
200,0.2,40,9,t_copula06,CR-SHP,3963.87797473427,4279.12980716534,3108.06624828856,3119.12748611363,2837.80361978434,0,401,3,0
200,0.2,40,9,t_copula06,CVaR-CR-SHP,2855.53141770635,2855.53141770641,2855.53141770635,2855.53141770635,2855.53141770635,1423.59838945893,401,3,40
200,0.2,40,9,t_copula06,Mixed,3694.93623402617,4279.12980716534,3108.06624828856,3119.12748611363,2837.80361978434,0,401,3,0
200,0.2,40,10,independent,Nominal,4406.17302858148,4409.48537391039,4248.44009345649,4257.45108276923,4105.70469008024,0,401,3,0
200,0.2,40,10,independent,CR-SHP,3884.72867242071,4409.48537391039,4248.44009345649,4257.45108276923,4105.70469008024,0,401,3,0
200,0.2,40,10,independent,CVaR-CR-SHP,2781.93136441359,4409.48537391039,4248.44009345649,4257.45108276923,4105.70469008024,0,401,3,0
